R,rho
0.5,27.34
1.5,6.397
2.5,3.51
3.5,3.462
4.5,4.62
5.5,3.882
6.5,2.778
7.5,1.848
8.5,0.8836
9.5,0.4526
10.5,0.2672
11.5,0.148
